ECGEpoch,ECGTimestamp,ECGValue
1755694592.9815521,20 Aug 2025 at 14:56:32,9
1755694592.9815521,20 Aug 2025 at 14:56:32,336
1755694592.9815521,20 Aug 2025 at 14:56:32,796
1755694592.9815521,20 Aug 2025 at 14:56:32,1005
1755694592.9815521,20 Aug 2025 at 14:56:32,660
1755694592.9815521,20 Aug 2025 at 14:56:32,-202
1755694592.9815521,20 Aug 2025 at 14:56:32,-887
1755694592.9815521,20 Aug 2025 at 14:56:32,-683
1755694592.9815521,20 Aug 2025 at 14:56:32,-183
1755694592.9815521,20 Aug 2025 at 14:56:32,-102
1755694592.9815521,20 Aug 2025 at 14:56:32,-77
1755694592.9815521,20 Aug 2025 at 14:56:32,43
1755694592.9815521,20 Aug 2025 at 14:56:32,29
1755694592.9815521,20 Aug 2025 at 14:56:32,0
1755694592.9815521,20 Aug 2025 at 14:56:32,45
1755694592.9815521,20 Aug 2025 at 14:56:32,56
1755694592.9815521,20 Aug 2025 at 14:56:32,34
1755694592.9815521,20 Aug 2025 at 14:56:32,43
1755694592.9815521,20 Aug 2025 at 14:56:32,61
1755694592.9815521,20 Aug 2025 at 14:56:32,65
1755694592.9815521,20 Aug 2025 at 14:56:32,70
1755694592.9815521,20 Aug 2025 at 14:56:32,86
1755694592.9815521,20 Aug 2025 at 14:56:32,97
1755694592.9815521,20 Aug 2025 at 14:56:32,108
1755694592.9815521,20 Aug 2025 at 14:56:32,131
1755694592.9815521,20 Aug 2025 at 14:56:32,186
1755694592.9815521,20 Aug 2025 at 14:56:32,242
1755694592.9815521,20 Aug 2025 at 14:56:32,265
1755694592.9815521,20 Aug 2025 at 14:56:32,292
1755694592.9815521,20 Aug 2025 at 14:56:32,329
1755694592.9815521,20 Aug 2025 at 14:56:32,345
1755694592.9815521,20 Aug 2025 at 14:56:32,347
1755694592.9815521,20 Aug 2025 at 14:56:32,345
1755694592.9815521,20 Aug 2025 at 14:56:32,338
1755694592.9815521,20 Aug 2025 at 14:56:32,320
1755694592.9815521,20 Aug 2025 at 14:56:32,295
1755694592.9815521,20 Aug 2025 at 14:56:32,270
1755694592.9815521,20 Aug 2025 at 14:56:32,247
1755694592.9815521,20 Aug 2025 at 14:56:32,208
1755694592.9815521,20 Aug 2025 at 14:56:32,161
1755694592.9815521,20 Aug 2025 at 14:56:32,129
1755694592.9815521,20 Aug 2025 at 14:56:32,97
1755694592.9815521,20 Aug 2025 at 14:56:32,49
1755694592.9815521,20 Aug 2025 at 14:56:32,6
1755694592.9815521,20 Aug 2025 at 14:56:32,-15
1755694592.9815521,20 Aug 2025 at 14:56:32,-29
1755694592.9815521,20 Aug 2025 at 14:56:32,-38
1755694592.9815521,20 Aug 2025 at 14:56:32,-47
1755694592.9815521,20 Aug 2025 at 14:56:32,-49
1755694592.9815521,20 Aug 2025 at 14:56:32,-40
1755694592.9815521,20 Aug 2025 at 14:56:32,-36
1755694592.9815521,20 Aug 2025 at 14:56:32,-45
1755694592.9815521,20 Aug 2025 at 14:56:32,-49
1755694592.9815521,20 Aug 2025 at 14:56:32,-49
1755694592.9815521,20 Aug 2025 at 14:56:32,-56
1755694592.9815521,20 Aug 2025 at 14:56:32,-61
1755694592.9815521,20 Aug 2025 at 14:56:32,-63
1755694592.9815521,20 Aug 2025 at 14:56:32,-70
1755694592.9815521,20 Aug 2025 at 14:56:32,-79
1755694592.9815521,20 Aug 2025 at 14:56:32,-88
1755694592.9815521,20 Aug 2025 at 14:56:32,-93
1755694592.9815521,20 Aug 2025 at 14:56:32,-88
