RREpoch,RRTimestamp,RRValue
1755694593.249994,20 Aug 2025 at 14:56:33,0.7705078125
1755694594.239996,20 Aug 2025 at 14:56:34,0.78125
1755694594.239996,20 Aug 2025 at 14:56:34,0.7802734375
1755694595.229887,20 Aug 2025 at 14:56:35,0.7763671875
1755694596.2500129,20 Aug 2025 at 14:56:36,0.73828125
1755694597.23996,20 Aug 2025 at 14:56:37,0.740234375
1755694597.23996,20 Aug 2025 at 14:56:37,0.7421875
1755694598.229645,20 Aug 2025 at 14:56:38,0.7578125
1755694599.249937,20 Aug 2025 at 14:56:39,0.748046875
1755694600.2399092,20 Aug 2025 at 14:56:40,0.779296875
1755694601.23018,20 Aug 2025 at 14:56:41,0.8125
1755694601.23018,20 Aug 2025 at 14:56:41,0.845703125
1755694602.249594,20 Aug 2025 at 14:56:42,0.75390625
1755694603.239697,20 Aug 2025 at 14:56:43,0.7275390625
1755694604.23282,20 Aug 2025 at 14:56:44,0.724609375
1755694604.23282,20 Aug 2025 at 14:56:44,0.6982421875
1755694605.2499928,20 Aug 2025 at 14:56:45,0.701171875
1755694606.239715,20 Aug 2025 at 14:56:46,0.7236328125
1755694606.239715,20 Aug 2025 at 14:56:46,0.732421875
1755694607.229671,20 Aug 2025 at 14:56:47,0.71484375
1755694608.250037,20 Aug 2025 at 14:56:48,0.7333984375
1755694609.23986,20 Aug 2025 at 14:56:49,0.7431640625
1755694609.23986,20 Aug 2025 at 14:56:49,0.7548828125
1755694610.2295,20 Aug 2025 at 14:56:50,0.7265625
1755694611.249539,20 Aug 2025 at 14:56:51,0.7041015625
1755694612.2399302,20 Aug 2025 at 14:56:52,0.7109375
1755694612.2399302,20 Aug 2025 at 14:56:52,0.7158203125
1755694613.23296,20 Aug 2025 at 14:56:53,0.7421875
1755694614.250366,20 Aug 2025 at 14:56:54,0.7568359375
1755694615.269806,20 Aug 2025 at 14:56:55,0.734375
1755694615.269806,20 Aug 2025 at 14:56:55,0.763671875
1755694616.229723,20 Aug 2025 at 14:56:56,0.8154296875
1755694617.24998,20 Aug 2025 at 14:56:57,0.904296875
1755694618.2710052,20 Aug 2025 at 14:56:58,0.8857421875
1755694619.232146,20 Aug 2025 at 14:56:59,0.9443359375
1755694620.2801142,20 Aug 2025 at 14:57:00,0.962890625
